id,errors-question1,errors-question2,errors-question3,errors-question4,Errors-question5
20170101451,1,,2,2,4
20170061679,,,,,
20170016539,2,2,1,2,2
20170018936,1,1,2,1,0
20170008410,2,,2,2,2
20170027158,0,0,1,1,2
20170058655,0,2,3,0,0
20170024290,1,2,1,3,0
20170027630,1,3,0,2,2
11412497,2,,3,2,2
20170015291,0,3,0,0,0
20170141214,3,2,0,2,2
2016084702,0,3,0,0,1
20170200235,1,,3,1,3
20170019512,6,6,3,6,5
20170112348,1,2,0,3,2
20190109324,1,3,3,3,0
20170110183,3,3,2,1,0
20170110227,0,0,0,2,3
20170018097,2,3,0,3,
20170073039,1,,2,0,2
20170022071,1,,0,1,0
20170157420,3,3,,4,
20160121307,1,,0,0,2
20170164380,2,3,0,1,0
20170059376,0,1,0,1,0
20170071559,0,1,1,0,0
